"BANKNO","BIDCITY","BIDNAME","BIDSTATE","BRDATE","BSTATUS","CERT","CHCLASS","CHCLASS1","CITY","CITYST","CLOSCD","COMMENTS","COST","COSTMOSTRECENTASOF","FAILDATE","FAILYR","FIN","FSL_PROG","FUND","ID","NAME","PSTALP","PTRDATE","QBFASSET","QBFDEP","RESDATE","RESTYPE","RESTYPE1","SAVR","TERMI","UNINSDEP","URL"
"","CARROLLTON","COMMUNITY & SOUTHERN BANK","GA","","I",57448,"NM","NM","DOUGLASVILLE","DOUGLASVILLE, GA","TASNN","",101039,"30SEP2025","9/17/2010","2010","10289","","5","3857","FIRST COMMERCE COMMUNITY BANK","GA","0",248151,242831,"9/17/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/firstcommerce_ga.html"
"","CARROLLTON","COMMUNITY & SOUTHERN BANK","GA","","I",58197,"NM","NM","ELLIJAY","ELLIJAY, GA","TASNN","",79709,"30SEP2025","9/17/2010","2010","10287","","5","3858","THE BANK OF ELLIJAY","GA","0",168820,160718,"9/17/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/ellijay.html"
"","COUPEVILLE","WHIDBEY ISLAND BANK","WA","","I",35053,"NM","NM","ARLINGTON","ARLINGTON, WA","TASNN","",70800,"30SEP2025","9/24/2010","2010","10294","","5","3859","NORTH COUNTY BANK","WA","0",288776,276081,"9/24/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/northcounty.html"
"","0","0","0","","",,"SM","SM","MAHANOY","MAHANOY, PA","","",,"","9/12/1942","1942","0","","1","386","MERCHANTS BANKING TRUST COMPANY","PA","0",,859,,"FAILURE","P&A","FDIC","","",""
"","BOCA RATON","FIRST SOUTHERN BANK","FL","","I",58308,"NM","NM","PONTE VEDRA BEACH","PONTE VEDRA BEACH, FL","TASNN","",34827,"30SEP2025","9/24/2010","2010","10293","","5","3860","HAVEN TRUST BANK FLORIDA","FL","0",148575,133561,"9/24/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/haventrust_fl.html"
"","CONWAY","CENTENNIAL BANK","AR","","I",21777,"NM","NM","CRAWFORDVILLE","CRAWFORDVILLE, FL","TASNN","",119933,"30SEP2025","10/1/2010","2010","10296","","5","3861","WAKULLA BANK","FL","0",402205,367228,"10/1/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/wakulla.html"
"","LOS ANGELES","GBC INTERNATIONAL BANK","CA","","I",35250,"NM","NM","SHORELINE","SHORELINE, WA","TASNN","",23478,"30SEP2025","10/1/2010","2010","10295","","5","3862","SHORELINE BANK","WA","0",92980,90644,"10/1/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/shoreline.html"
"","PINE BLUFF","SIMMONS FIRST NATIONAL BANK","AR","","I",30898,"SB","SB","OLATHE","OLATHE, KS","TAFNN","",53100,"30SEP2025","10/15/2010","2010","10298","","5","3863","SECURITY SAVINGS BANK, F.S.B.","KS","0",453349,347080,"10/15/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/securitysavingsfsb.html"
"","COLUMBIA","PROVIDENCE BANK","MO","","I",34016,"NM","NM","JEFFERSON CITY","JEFFERSON CITY, MO","TASNN","",308543,"30SEP2025","10/15/2010","2010","10297","","5","3864","PREMIER BANK","MO","0",989382,869367,"10/15/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/premier_mo.html"
"","EFFINGHAM","MIDLAND STATES BANK","IL","","I",58205,"NM","NM","CHESTERFIELD","CHESTERFIELD, MO","TASNN","",22436,"30SEP2025","10/15/2010","2010","10299","","5","3865","WESTBRIDGE BANK AND TRUST COMPANY","MO","0",87782,70131,"10/15/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/westbridge.html"
"","ZEBULON","UNITED BANK","GA","","I",2119,"N","N","BARNESVILLE","BARNESVILLE, GA","TANNN","",46897,"30SEP2025","10/22/2010","2010","10304","","5","3866","THE FIRST NATIONAL BANK OF BARNESVILLE","GA","0",126622,122880,"10/22/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/fnbbarnesville.html"
"","CHICAGO","SEAWAY BANK AND TRUST COMPANY","IL","","I",16089,"N","N","MAYWOOD","MAYWOOD, IL","TANNN","",44303,"30SEP2025","10/22/2010","2010","10301","","5","3867","FIRST SUBURBAN NATIONAL BANK","IL","0",143451,135475,"10/22/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/firstsuburban.html"
"","OVERLAND PARK","HILLCREST BANK, N.A.","KS","","I",22173,"NM","NM","OVERLAND PARK","OVERLAND PARK, KS","TASNN","",275262,"30SEP2025","10/22/2010","2010","10302","","5","3868","HILLCREST BANK","KS","0",1583611,1488785,"10/22/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/hillcrest_ks.html"
"","MOULTRIE","AMERIS BANK","GA","","I",27573,"NM","NM","JACKSONVILLE","JACKSONVILLE, FL","TASNN","",14277,"30SEP2025","10/22/2010","2010","10300","","5","3869","FIRST BANK OF JACKSONVILLE","FL","0",73922,72198,"10/22/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/firstbankjacksonville.html"
"","0","0","0","","",,"NM","NM","LONE ROCK","LONE ROCK, WI","","",,"","10/2/1942","1942","0","","1","387","FARMERS BANK","WI","0",580,537,,"FAILURE","PO","FDIC","","",""
"","TAMPA","BAY CITIES BANK","FL","","I",32251,"SM","SM","TAMPA","TAMPA, FL","TABNN","",34562,"30SEP2025","10/22/2010","2010","10303","","5","3870","PROGRESS BANK OF FLORIDA","FL","0",94823,86861,"10/22/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/progress_fl.html"
"","0","0","0","","I",32582,"SB","SB","SCOTTSDALE","SCOTTSDALE, AZ","POFNN","",26776,"30SEP2025","10/22/2010","2010","10306","","5","3871","FIRST ARIZONA SAVINGS, A FSB","AZ","0",255920,190615,"10/22/2010","FAILURE","PO","DIF","T","","https://www.fdic.gov/bank/individual/failed/firstazfsb.html"
"","DUBLIN","MORRIS BANK","GA","","I",33904,"NM","NM","GORDON","GORDON, GA","PASNN","",10354,"30SEP2025","10/22/2010","2010","10305","","5","3872","THE GORDON BANK","GA","0",29259,26867,"10/22/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/gordon.html"
"","BUFFALO","MANUFACTURERS AND TRADERS TRUST COMPANY","NY","","I",31263,"NM","NM","RANDALLSTOWN","RANDALLSTOWN, MD","TASNN","",136316,"30SEP2025","11/5/2010","2010","10308","","5","3873","K BANK","MD","0",538258,500056,"11/5/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/kbank.html"
"","OLYMPIA","HERITAGE BANK","WA","","I",34411,"SM","SM","TACOMA","TACOMA, WA","TABNN","",26754,"30SEP2025","11/5/2010","2010","10309","","5","3874","PIERCE COMMERCIAL BANK","WA","0",221082,193473,"11/5/2010","FAILURE","PA","DIF","T","","https://www.fdic.gov/bank/individual/failed/piercecommercial.html"
