RBCRWAJ,ROA,REPDTE,ASSET,CERT,NETINC,LNLSNET,DEP,NPERFV,ID,FAILED
16.576029192942677,1.9867052980132451,19920930,37245,338,540,21447,33348,0.5692039199892602,338_19920930,1
16.7389877324149,1.9463314106268603,19921231,38462,338,714,22264,34402,0.44979460246477043,338_19921231,1
16.21089703749741,2.2146507666098807,19930331,41370,338,221,23842,37217,0.25622431713802274,338_19930331,1
17.103371985681623,2.6409537051510936,19930630,41715,338,535,24906,37193,0.4554716528826561,338_19930630,1
16.833560664027413,2.200069197454695,19930930,43777,338,682,26135,39095,0.49340978139205516,338_19930930,1
17.804849478739605,2.018060089109147,19931231,44531,338,847,25667,39832,0.39523028901214885,338_19931231,1
16.451311667582836,2.0234696425276,19940331,47588,338,233,27433,42701,0.3446246953013365,338_19940331,1
16.548605782340967,2.0171464617502006,19940630,47385,338,469,29978,42456,0.40097077134114173,338_19940630,1
16.522730089445222,1.961968571775911,19940930,49689,338,696,31551,44572,0.5292921974682525,338_19940930,1
17.01987381607182,1.6909241213457251,19941231,50321,338,810,30913,45225,0.30404801176447205,338_19941231,1
17.12250678059669,1.7227034698771595,19950331,51844,338,220,31832,46277,0.14273590000771544,338_19950331,1
17.3662880434624,1.7478681014071493,19950630,53682,338,454,33289,47753,0.19745911106143588,338_19950630,1
17.64785430941219,1.9022018409786803,19950930,54150,338,749,34660,47878,0.5466297322253001,338_19950930,1
17.811311419648103,1.5385995939443113,19951231,57454,338,823,34404,51238,0.3341803877884917,338_19951231,1
17.63884329250989,1.684353510484761,19960331,60336,338,248,34897,54084,0.3298196764783877,338_19960331,1
17.669953850931012,1.6342230770085935,19960630,62112,338,490,36244,55722,0.3187789799072643,338_19960630,1
0.0,0.16049607878898414,19840331,53939,21029,22,30982,48185,4.458740429003133,21029_19840331,1
0.0,0.13216182481215888,19840630,53776,21029,36,29924,49627,4.282579589407915,21029_19840630,1
0.0,0.24117686288661205,19840930,55485,21029,99,30345,51318,2.004145264485897,21029_19840930,1
0.0,0.15125505246545737,19841231,55450,21029,83,31234,51145,2.488728584310189,21029_19841231,1
0.0,0.6529337662568088,19850331,57272,21029,92,32091,52828,1.6081156586115377,21029_19850331,1
0.0,0.8105743651393511,19850630,55307,21029,227,32975,50667,1.3506427757788346,21029_19850630,1
0.0,0.7393279447261776,19850930,57756,21029,313,32670,52969,2.714869450792991,21029_19850930,1
0.0,0.6630114659880478,19851231,53999,21029,371,31745,49264,2.6056038074779164,21029_19851231,1
0.0,0.6354304866978563,19860331,60569,21029,91,29400,55823,1.938285261437369,21029_19860331,1
0.0,0.6870758660371292,19860630,62705,21029,203,32491,57729,1.0987959492863408,21029_19860630,1
0.0,0.7279633150100826,19860930,65224,21029,331,34749,59264,1.3016680976327732,21029_19860930,1
0.0,0.6732670792705597,19861231,77584,21029,431,51762,70892,1.3611053825531036,21029_19861231,1
0.0,0.6776189783882529,19870331,80617,21029,134,49595,74675,1.7949067814480815,21029_19870331,1
0.0,0.8429077853953492,19870630,85242,21029,342,38351,77164,1.1133009549283217,21029_19870630,1
0.0,0.8356829468203075,19870930,88413,21029,520,43630,79782,1.0405709567597525,21029_19870930,1
0.0,0.7392581746265677,19871231,88836,21029,622,42799,81348,1.178576252870458,21029_19871231,1
0.0,0.5874909616775127,19880331,88188,21029,130,44863,81009,0.38894180614142515,21029_19880331,1
0.0,0.6476629396701207,19880630,84223,21029,282,43246,76582,0.3846930173468055,21029_19880630,1
0.0,0.6736692849766286,19880930,90252,21029,444,49115,81168,0.30802641492709304,21029_19880930,1
0.0,0.7004031209073667,19881231,98242,21029,630,57497,88538,0.21884733616986626,21029_19881231,1
0.0,0.8176674575652491,19890331,93523,21029,196,52739,82720,0.5004116634410787,21029_19890331,1
0.0,0.7972008508777162,19890630,110041,21029,401,55094,97266,0.9160222099035813,21029_19890630,1
0.0,0.7728497534467142,19890930,95674,21029,576,57953,84884,0.334469134770157,21029_19890930,1
